ID,0,1,2,3,4,5,6,7
device__attribute_can_use_host_pointer_for_registered_mem,1,1,1,1,1,1,1,1
device__attribute_can_use_stream_mem_ops_v1,0,0,0,0,0,0,0,0
device__attribute_can_use_stream_wait_value_nor,1,1,1,1,1,1,1,1
device__attribute_can_use_stream_wait_value_nor_v1,0,0,0,0,0,0,0,0
device__attribute_chip,368,368,368,368,368,368,368,368
device__attribute_clock_rate,"1,410,000","1,410,000","1,410,000","1,410,000","1,410,000","1,410,000","1,410,000","1,410,000"
device__attribute_cluster_launch,0,0,0,0,0,0,0,0
device__attribute_compute_capability_major,8,8,8,8,8,8,8,8
device__attribute_compute_capability_minor,0,0,0,0,0,0,0,0
device__attribute_compute_mode,0,0,0,0,0,0,0,0
device__attribute_compute_preemption_supported,1,1,1,1,1,1,1,1
device__attribute_concurrent_kernels,1,1,1,1,1,1,1,1
device__attribute_concurrent_managed_access,1,1,1,1,1,1,1,1
device__attribute_confidential_computing_mode,No-CC,No-CC,No-CC,No-CC,No-CC,No-CC,No-CC,No-CC
device__attribute_cooperative_launch,1,1,1,1,1,1,1,1
device__attribute_cooperative_multi_device_launch,1,1,1,1,1,1,1,1
device__attribute_deferred_mapping_cuda_array_supported,1,1,1,1,1,1,1,1
device__attribute_device_index,0,0,0,0,0,0,0,0
device__attribute_direct_managed_mem_access_from_host,0,0,0,0,0,0,0,0
device__attribute_display_name,NVIDIA A100-PCIE-40GB,NVIDIA A100-PCIE-40GB,NVIDIA A100-PCIE-40GB,NVIDIA A100-PCIE-40GB,NVIDIA A100-PCIE-40GB,NVIDIA A100-PCIE-40GB,NVIDIA A100-PCIE-40GB,NVIDIA A100-PCIE-40GB
device__attribute_dma_buf_supported,0,0,0,0,0,0,0,0
device__attribute_ecc_enabled,1,1,1,1,1,1,1,1
device__attribute_fb_bus_width,"5,120","5,120","5,120","5,120","5,120","5,120","5,120","5,120"
device__attribute_fbp_count,10,10,10,10,10,10,10,10
device__attribute_generic_compression_supported,1,1,1,1,1,1,1,1
device__attribute_global_l1_cache_supported,1,1,1,1,1,1,1,1
device__attribute_global_memory_bus_width,"5,120","5,120","5,120","5,120","5,120","5,120","5,120","5,120"
device__attribute_gpu_direct_rdma_flush_writes_options,1,1,1,1,1,1,1,1
device__attribute_gpu_direct_rdma_supported,1,1,1,1,1,1,1,1
device__attribute_gpu_direct_rdma_with_cuda_vmm_supported,1,1,1,1,1,1,1,1
device__attribute_gpu_direct_rdma_writes_ordering,0,0,0,0,0,0,0,0
device__attribute_gpu_overlap,1,1,1,1,1,1,1,1
device__attribute_gpu_pci_device_id,"552,669,406","552,669,406","552,669,406","552,669,406","552,669,406","552,669,406","552,669,406","552,669,406"
device__attribute_gpu_pci_ext_device_id,"8,433","8,433","8,433","8,433","8,433","8,433","8,433","8,433"
device__attribute_gpu_pci_ext_downstream_link_rate,"16,000","16,000","16,000","16,000","16,000","16,000","16,000","16,000"
device__attribute_gpu_pci_ext_downstream_link_width,16,16,16,16,16,16,16,16
device__attribute_gpu_pci_ext_gen,3,3,3,3,3,3,3,3
device__attribute_gpu_pci_ext_gpu_gen,3,3,3,3,3,3,3,3
device__attribute_gpu_pci_ext_gpu_link_rate,"16,000","16,000","16,000","16,000","16,000","16,000","16,000","16,000"
device__attribute_gpu_pci_ext_gpu_link_width,16,16,16,16,16,16,16,16
device__attribute_gpu_pci_revision_id,161,161,161,161,161,161,161,161
device__attribute_gpu_pci_sub_system_id,"341,774,558","341,774,558","341,774,558","341,774,558","341,774,558","341,774,558","341,774,558","341,774,558"
device__attribute_handle_type_posix_file_descriptor_supported,1,1,1,1,1,1,1,1
device__attribute_handle_type_win32_handle_supported,0,0,0,0,0,0,0,0
device__attribute_handle_type_win32_kmt_handle_supported,0,0,0,0,0,0,0,0
device__attribute_host_native_atomic_supported,0,0,0,0,0,0,0,0
device__attribute_host_numa_id,1,1,1,1,1,1,1,1
device__attribute_host_register_supported,1,1,1,1,1,1,1,1
device__attribute_implementation,368,368,368,368,368,368,368,368
device__attribute_integrated,0,0,0,0,0,0,0,0
device__attribute_ipc_event_supported,1,1,1,1,1,1,1,1
device__attribute_kernel_exec_timeout,0,0,0,0,0,0,0,0
device__attribute_l2_cache_size,"41,943,040","41,943,040","41,943,040","41,943,040","41,943,040","41,943,040","41,943,040","41,943,040"
device__attribute_l2s_count,80,80,80,80,80,80,80,80
device__attribute_limits_max_cta_per_sm,32,32,32,32,32,32,32,32
device__attribute_local_l1_cache_supported,1,1,1,1,1,1,1,1
device__attribute_managed_memory,1,1,1,1,1,1,1,1
device__attribute_max_access_policy_window_size,"134,213,632","134,213,632","134,213,632","134,213,632","134,213,632","134,213,632","134,213,632","134,213,632"
device__attribute_max_block_dim_x,"1,024","1,024","1,024","1,024","1,024","1,024","1,024","1,024"
device__attribute_max_block_dim_y,"1,024","1,024","1,024","1,024","1,024","1,024","1,024","1,024"
device__attribute_max_block_dim_z,64,64,64,64,64,64,64,64
device__attribute_max_blocks_per_multiprocessor,32,32,32,32,32,32,32,32
device__attribute_max_gpu_frequency_khz,"1,410,000","1,410,000","1,410,000","1,410,000","1,410,000","1,410,000","1,410,000","1,410,000"
device__attribute_max_grid_dim_x,"2,147,483,647","2,147,483,647","2,147,483,647","2,147,483,647","2,147,483,647","2,147,483,647","2,147,483,647","2,147,483,647"
device__attribute_max_grid_dim_y,"65,535","65,535","65,535","65,535","65,535","65,535","65,535","65,535"
device__attribute_max_grid_dim_z,"65,535","65,535","65,535","65,535","65,535","65,535","65,535","65,535"
device__attribute_max_ipc_per_multiprocessor,4,4,4,4,4,4,4,4
device__attribute_max_ipc_per_scheduler,1,1,1,1,1,1,1,1
device__attribute_max_mem_frequency_khz,"1,215,000","1,215,000","1,215,000","1,215,000","1,215,000","1,215,000","1,215,000","1,215,000"
device__attribute_max_persisting_l2_cache_size,"26,214,400","26,214,400","26,214,400","26,214,400","26,214,400","26,214,400","26,214,400","26,214,400"
device__attribute_max_pitch,"2,147,483,647","2,147,483,647","2,147,483,647","2,147,483,647","2,147,483,647","2,147,483,647","2,147,483,647","2,147,483,647"
device__attribute_max_registers_per_block,"65,536","65,536","65,536","65,536","65,536","65,536","65,536","65,536"
device__attribute_max_registers_per_multiprocessor,"65,536","65,536","65,536","65,536","65,536","65,536","65,536","65,536"
device__attribute_max_registers_per_thread,255,255,255,255,255,255,255,255
device__attribute_max_shared_memory_per_block,"49,152","49,152","49,152","49,152","49,152","49,152","49,152","49,152"
device__attribute_max_shared_memory_per_block_optin,"166,912","166,912","166,912","166,912","166,912","166,912","166,912","166,912"
device__attribute_max_shared_memory_per_multiprocessor,"167,936","167,936","167,936","167,936","167,936","167,936","167,936","167,936"
device__attribute_max_threads_per_block,"1,024","1,024","1,024","1,024","1,024","1,024","1,024","1,024"
device__attribute_max_threads_per_multiprocessor,"2,048","2,048","2,048","2,048","2,048","2,048","2,048","2,048"
device__attribute_max_warps_per_multiprocessor,64,64,64,64,64,64,64,64
device__attribute_max_warps_per_scheduler,16,16,16,16,16,16,16,16
